Index,Cr,Co,Cu,Fe,Mo,Mn,Ni,Ti
152,7.65,18.87,9.18,13.26,18.91,15.43,7.04,9.65
153,7.62,20.0,9.14,12.34,19.91,15.15,6.49,9.35
154,8.02,22.01,9.63,10.03,21.42,15.5,4.92,8.48
155,5.1,23.35,6.12,11.04,24.08,16.79,5.04,8.48
156,6.01,24.36,7.21,9.31,26.3,13.96,5.1,7.77
157,5.1,26.72,6.12,8.74,28.0,14.62,3.42,7.28
158,18.46,3.49,22.15,15.47,2.23,6.42,20.45,11.33
159,17.3,4.51,20.76,15.57,2.83,7.87,18.88,12.27
160,16.23,4.18,19.48,16.64,3.45,8.01,19.59,12.43
161,16.39,5.67,19.66,15.68,4.44,6.79,18.5,12.86
162,15.51,5.41,18.61,16.96,5.71,8.39,17.12,12.29
163,14.94,6.63,17.93,16.62,5.54,8.94,16.3,13.08
164,13.39,7.86,16.07,17.31,6.47,11.04,15.07,12.79
165,13.57,7.65,16.29,16.79,8.09,10.92,13.59,13.11
166,12.53,9.57,15.04,16.14,8.74,11.77,13.44,12.76
167,11.79,11.18,14.15,15.74,10.04,13.0,11.77,12.32
168,10.84,12.72,13.01,15.55,10.73,14.02,11.56,11.56
169,10.87,12.42,13.04,14.11,13.11,13.71,9.92,12.82
170,9.46,14.11,11.35,13.76,13.52,15.97,10.03,11.8
171,8.76,15.32,10.51,13.71,14.59,16.14,8.49,12.47
172,9.09,17.36,10.91,12.83,17.4,14.14,7.83,10.44
173,8.31,18.05,9.98,12.89,18.89,14.0,7.74,10.14
174,7.18,20.27,8.62,11.76,19.6,16.11,6.79,9.67
175,6.91,22.69,8.29,10.33,21.07,16.61,4.13,9.97
176,6.92,23.16,8.31,9.17,23.74,15.11,4.75,8.85
177,5.63,26.93,6.75,9.78,23.12,17.12,4.0,6.67
178,4.84,28.1,5.81,8.3,26.08,16.09,3.05,7.72
179,17.38,4.58,20.86,13.73,1.6,7.18,21.64,13.03
180,17.16,4.27,20.59,14.41,3.39,7.63,20.34,12.21
181,16.91,3.9,20.3,14.64,3.66,7.91,19.51,13.18
182,16.17,4.7,19.41,15.07,3.99,7.99,18.73,13.94
183,15.55,6.68,18.67,14.69,4.22,9.55,17.63,13.0
184,14.04,7.0,16.84,14.49,5.35,11.04,17.59,13.66
185,13.82,6.89,16.58,15.28,6.91,10.89,15.57,14.07
186,13.03,8.12,15.64,15.47,7.74,11.85,14.51,13.64
